GEOID,NAME,geometry,population_estimate,pov_level_estimate,med_inc_estimate,population_moe,pov_level_moe,med_inc_moe,census_tract,counts
36005022200,"Census Tract 222, Bronx County, New York","list(list(c(-73.861012, -73.85813, -73.857531, -73.855858, -73.855125, -73.855447, -73.854458, -73.853488, -73.853877, -73.854151, -73.853035, -73.852914, -73.852331, -73.852207, -73.85207, -73.851684, -73.853471, -73.854651, -73.857732, -73.859056, -73.860344, -73.860851, -73.860906, -73.861012, 40.834597, 40.835002, 40.835175, 40.835897, 40.836049, 40.837463, 40.83757, 40.837676, 40.839741, 40.840617, 40.840735, 40.840086, 40.83701, 40.836347, 40.835625, 40.834201, 40.834015, 40.833888, 40.833558, 
40.833413, 40.833294, 40.833614, 40.83399, 40.834597)))",3169,3096,46806,544,510,15910,36005022200,3
36061015802,"Census Tract 158.02, New York County, New York","list(list(c(-73.952058, -73.951609, -73.949981, -73.948378, -73.948827, -73.949332, -73.950174, -73.950927, -73.952551, -73.952058, 40.787222, 40.787858, 40.787173, 40.786497, 40.785881, 40.785194, 40.785549, 40.785866, 40.786549, 40.787222)))",4284,3317,77889,631,573,29354,36061015802,1
36047012000,"Census Tract 120, Kings County, New York","list(list(c(-74.016306, -74.011908, -74.011326, -74.010742, -74.007023, -74.007739, -74.008456, -74.009224, -74.010004, -74.015139, -74.015643, -74.016752, -74.016306, 40.635896, 40.633234, 40.633795, 40.634357, 40.63211, 40.63163, 40.63115, 40.630634, 40.630113, 40.633217, 40.633529, 40.63544, 40.635896)))",1299,1286,63297,380,380,14967,36047012000,3
36005037900,"Census Tract 379, Bronx County, New York","list(list(c(-73.902102, -73.900949, -73.900694, -73.900442, -73.900003, -73.899317, -73.898776, -73.898165, -73.898635, -73.897099, -73.89644, -73.895609, -73.897087, -73.898086, -73.899671, -73.900963, -73.901955, -73.902102, 40.848319, 40.848425, 40.850253, 40.851077, 40.852517, 40.85407, 40.855364, 40.855146, 40.853907, 40.855172, 40.854908, 40.854571, 40.851969, 40.850213, 40.847438, 40.847697, 40.848059, 40.848319)))",6137,6101,32269,1101,1103,8396,36005037900,4
36005005300,"Census Tract 53, Bronx County, New York","list(list(c(-73.922978, -73.921405, -73.919595, -73.920717, -73.922288, -73.92242, -73.923904, -73.922978, 40.852022, 40.854358, 40.853339, 40.852124, 40.850277, 40.850123, 40.850488, 40.852022)))",5472,5446,20449,709,709,4459,36005005300,3
36081071303,"Census Tract 713.03, Queens County, New York","list(list(c(-73.853588, -73.851778, -73.849247, -73.849126, -73.848882, -73.848082, -73.846871, -73.846544, -73.84733, -73.84895, -73.849799, -73.85042, -73.851633, -73.852448, -73.853588, 40.727135, 40.727697, 40.72845, 40.727718, 40.727025, 40.72573, 40.724558, 40.723889, 40.722933, 40.723766, 40.724402, 40.725038, 40.726201, 40.726705, 40.727135)))",5854,5854,89412,776,776,8131,36081071303,3
36047072400,"Census Tract 724, Kings County, New York","list(list(c(-73.931531, -73.927448, -73.925706, -73.922832, -73.922587, -73.925456, -73.929836, -73.930312, -73.931273, -73.931531, 40.635006, 40.635259, 40.635367, 40.635543, 40.633209, 40.633028, 40.632756, 40.632726, 40.632666, 40.635006)))",1939,1939,76458,289,289,8504,36047072400,2
36047003900,"Census Tract 39, Kings County, New York","list(list(c(-73.982661, -73.981817, -73.979363, -73.978026, -73.978337, -73.978743, -73.979605, -73.981993, -73.983953, -73.982661, 40.686086, 40.68733, 40.686682, 40.684864, 40.684395, 40.68376, 40.682489, 40.683418, 40.684182, 40.686086)))",2349,2349,126429,404,404,20906,36047003900,8
36081018900,"Census Tract 189, Queens County, New York","list(list(c(-73.930597, -73.930227, -73.927444, -73.92655, -73.925588, -73.924664, -73.92503, -73.925399, -73.92763, -73.928227, -73.929946, -73.930237, -73.931102, -73.930597, 40.740598, 40.742446, 40.742123, 40.74202, 40.741908, 40.7418, 40.739955, 40.738111, 40.738401, 40.738206, 40.737536, 40.737674, 40.73807, 40.740598)))",3401,3400,80039,589,589,19575,36081018900,3
36081078800,"Census Tract 788, Queens County, New York","list(list(c(-73.791652, -73.790474, -73.788085, -73.788831, -73.78941, -73.792174, -73.79155, -73.792438, -73.791652, 40.67349, 40.673391, 40.67301, 40.669823, 40.666841, 40.66704, 40.670207, 40.670328, 40.67349)))",2082,2065,110833,534,524,24644,36081078800,5
36081018502,"Census Tract 185.02, Queens County, New York","list(list(c(-73.924664, -73.923739, -73.921883, -73.920956, -73.919099, -73.919466, -73.921321, -73.923176, -73.924105, -73.92503, -73.924664, 40.7418, 40.741692, 40.741478, 40.741362, 40.741155, 40.739312, 40.739525, 40.73974, 40.739848, 40.739955, 40.7418)))",3152,3152,98750,350,350,25685,36081018502,1
