"LOCAL.HEALTH.UNIT","OPERATION.NAME","CITY","STATE","ZIP","MUNICIPALITY","COUNTY","VENDOR.TYPE","CREATION.DATE","LOCATION","LAT","LONG","ADDRESS","census_code","census_tract"
"NYC","CORNER AVE S CONVENIENCE INC'","BROOKLYN","NY",11223,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","1101 S AVENUE BROOKLYN, NY 11223 (40.603162069, -73.961367707)",40.603162069,-73.961367707,"1101 S AVENUE BROOKLYN, NY 11223 ","360470556003001","055600"
"NYC","JURI DELI INC.","BROOKLYN","NY",11206,"BROOKLYN","NEW YORK CITY","BAR/LOUNGE","07/10/2023","203 MAUJER STREET BROOKLYN, NY 11206 (40.711154719, -73.942271636)",40.711154719,-73.942271636,"203 MAUJER STREET BROOKLYN, NY 11206 ","360470495002004","049500"
"NYC","FANTASY PARTY TATTOO CORP","MANHATTAN","NY",10014,"NEW YORK CITY","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","333 AVENUE OF THE AMERICAS MANHATTAN, NY 10014 (40.731557277, -74.001299345)",40.731557277,-74.001299345,"333 AVENUE OF THE AMERICAS MANHATTAN, NY 10014 ","360610067001002","006700"
"NYC","MM PETROLEUM INC","LONG ISLAND CITY","NY",11104,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","3904 SKILLMAN AVENUE LONG ISLAND CITY, NY 11104 (40.747190533, -73.925104911)",40.747190533,-73.925104911,"3904 SKILLMAN AVENUE LONG ISLAND CITY, NY 11104 ","360810179011000","017901"
"NYC","CLOUDS ATLAS CONVENIENCE II INC","BROOKLYN","NY",11238,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","198 UNDERHILL AVENUE BROOKLYN, NY 11238 (40.674697296, -73.967005207)",40.674697296,-73.967005207,"198 UNDERHILL AVENUE BROOKLYN, NY 11238 ","360470207002000","020700"
"NYC","13TH DELI AND GRILL INC.","BROOKLYN","NY",11218,"BROOKLYN","NEW YORK CITY","CONVENIENCE STORE","07/10/2023","4004 13TH AVENUE BROOKLYN, NY 11218 (40.639981465, -73.987174581)",40.639981465,-73.987174581,"4004 13TH AVENUE BROOKLYN, NY 11218 ","360470224001000","022400"
"NYC","N AND A SUPERETTE INC.","BROOKLYN","NY",11236,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","1595 CANARISE ROAD BROOKLYN, NY 11236 (40.633561723, -73.894793686)",40.633561723,-73.894793686,"1595 CANARISE ROAD BROOKLYN, NY 11236 ","360471010002005","101000"
"NYC","VMAA INC","SUNNYSIDE","NY",11104,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","4003 QUEENS  BOULEVARD SUNNYSIDE, NY 11104 (40.74407741, -73.924012749)",40.74407741,-73.924012749,"4003 QUEENS  BOULEVARD SUNNYSIDE, NY 11104 ","360810181012000","018101"
"NYC","BAGELS ON THE LANE CORP","STATEN ISLAND","NY",10306,"STATEN ISLAND","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","166 NEW DORP LANE STATEN ISLAND, NY 10306 (40.573341688, -74.115377802)",40.573341688,-74.115377802,"166 NEW DORP LANE STATEN ISLAND, NY 10306 ","360850134001007","013400"
"NYC","COFFEE SNACKS & SMOKE SHOP CORP.","BROOKLYN","NY",11219,"BROOKLYN","NEW YORK CITY","TOBACCO RETAIL","07/10/2023","1179A 49TH STREET BROOKLYN, NY 11219 (40.636596778, -73.994623628)",40.636596778,-73.994623628,"1179A 49TH STREET BROOKLYN, NY 11219 ","360470220004004","022000"
"NYC","HARVEST DELI CORP","BROOKLYN","NY",11211,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","31A KINGSLAND AVENUE BROOKLYN, NY 11211 (40.717142546, -73.940321394)",40.717142546,-73.940321394,"31A KINGSLAND AVENUE BROOKLYN, NY 11211 ","360470477002003","047700"
"NYC","MUNASER, ANIS M","BROOKLYN","NY",11231,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","156 UNION STREET BROOKLYN, NY 11231 (40.683788392, -74.001191973)",40.683788392,-74.001191973,"156 UNION STREET BROOKLYN, NY 11231 ","360470063001002","006300"
"NYC","FORTUNE HUT, INC.","OZONE PARK","NY",11416,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","76-11 101ST AVENUE OZONE PARK, NY 11416 (40.680136565, -73.861006067)",40.680136565,-73.861006067,"76-11 101ST AVENUE OZONE PARK, NY 11416 ","360810042003000","004200"
"NYC","HOME DELI & CATERING CORP.","GLENDALE","NY",11385,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","71-35 73RD PLACE GLENDALE, NY 11385 (40.704581128, -73.876180832)",40.704581128,-73.876180832,"71-35 73RD PLACE GLENDALE, NY 11385 ","360810633011007","063301"
"NYC","EXOTICS ISLAND CONVENIENCE CORP.","BROOKLYN","NY",11224,"BROOKLYN","NEW YORK CITY","TOBACCO RETAIL","07/10/2023","1528 MERMAID AVENUE BROOKLYN, NY 11224 (40.576655097, -73.983473216)",40.576655097,-73.983473216,"1528 MERMAID AVENUE BROOKLYN, NY 11224 ","360470348002002","034800"
"NYC","NOAH GOURMET DELI, INC","BRONX","NY",10462,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","1801 RADCLIFF  AVENUE BRONX, NY 10462 (40.847876091, -73.85734108)",40.847876091,-73.85734108,"1801 RADCLIFF  AVENUE BRONX, NY 10462 ","360050244001000","024400"
"NYC","V'S VAPE CORP","MANHATTAN","NY",10034,"NEW YORK CITY","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","4876 BROADWAY MANHATTAN, NY 10034 (40.866772421, -73.923341778)",40.866772421,-73.923341778,"4876 BROADWAY MANHATTAN, NY 10034 ","360610291002000","029100"
"NYC","RODRIGUEZ GROCERY LLC","BROOKLYN","NY",11211,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","127 GRAND STREET BROOKLYN, NY 11211 (40.715143332, -73.96254922)",40.715143332,-73.96254922,"127 GRAND STREET BROOKLYN, NY 11211 ","360470553002004","055300"
"NYC","AAMAR DELI & GROCERY INC","BROOKLYN","NY",11223,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","383 AVENUE X BROOKLYN, NY 11223 (40.590838744, -73.96875451)",40.590838744,-73.96875451,"383 AVENUE X BROOKLYN, NY 11223 ","360470388003000","038800"
"NYC","ODAINY CONVENIENCE CORP","NEW YORK","NY",10039,"NEW YORK CITY","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","2913 8TH AVENUE NEW YORK, NY 10039 (40.828698444, -73.937713265)",40.828698444,-73.937713265,"2913 8TH AVENUE NEW YORK, NY 10039 ","360610235021000","023502"
"NYC","KINGSBRIDGE SMOKE SHOP & CANDY INC","BRONX","NY",10467,"BRONX","NEW YORK CITY","CONVENIENCE STORE","07/10/2023","5625 BROADWAY BRONX, NY 10467 (40.879932219, -73.904312008)",40.879932219,-73.904312008,"5625 BROADWAY BRONX, NY 10467 ","360050289001000","028900"
"NYC","2528 KINGS CONVENIENCE CORPORATION","ASTORIA","NY",11106,"QUEENS","NEW YORK CITY","TOBACCO RETAIL","07/10/2023","25-28 BROADWAY ASTORIA, NY 11106 (40.762898806, -73.927665834)",40.762898806,-73.927665834,"25-28 BROADWAY ASTORIA, NY 11106 ","360810053001001","005300"
"NYC","BRYAN GOURMET DELI INC","BROOKLYN","NY",11208,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","2932 PITKIN AVENUE BROOKLYN, NY 11208 (40.676370617, -73.863699759)",40.676370617,-73.863699759,"2932 PITKIN AVENUE BROOKLYN, NY 11208 ","360471202001009","120200"
"NYC","AMI CONVENIENCE INC","FLUSHING","NY",11367,"QUEENS","NEW YORK CITY","CONVENIENCE STORE","07/10/2023","75-47 MAIN STREET FLUSHING, NY 11367 (40.722885947, -73.819586473)",40.722885947,-73.819586473,"75-47 MAIN STREET FLUSHING, NY 11367 ","360810779072002","077907"
"NYC","CRATER CANDY STORE CORP.","ASTORIA","NY",11102,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","3023 30TH AVENUE ASTORIA, NY 11102 (40.767099397, -73.921495664)",40.767099397,-73.921495664,"3023 30TH AVENUE ASTORIA, NY 11102 ","360810071004004","007100"
"NYC","126 FOOD CORP","RICHMOND HILL","NY",11418,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","12604 JAMAICA AVENUE RICHMOND HILL, NY 11418 (40.701130885, -73.824537077)",40.701130885,-73.824537077,"12604 JAMAICA AVENUE RICHMOND HILL, NY 11418 ","360810142012001","014201"
