GEOID,NAME,pov_level_estimate,med_inc_estimate,pov_level_moe,med_inc_moe,census_tract,counts
36081014900,"Census Tract 149, Queens County, New York",2152,59781,417,25798,36081014900,4
36047088001,"Census Tract 880.01, Kings County, New York",1681,45375,551,13644,36047088001,1
36047009600,"Census Tract 96, Kings County, New York",5789,63457,598,15986,36047009600,3
36061005502,"Census Tract 55.02, New York County, New York",1912,129250,340,32967,36061005502,1
36081094203,"Census Tract 942.03, Queens County, New York",6623,55231,932,17733,36081094203,2
36047119400,"Census Tract 1194, Kings County, New York",5898,55788,1215,13199,36047119400,3
36047005601,"Census Tract 56.01, Kings County, New York",2585,67443,584,30433,36047005601,2
36061018200,"Census Tract 182, New York County, New York",7212,29929,1021,15135,36061018200,2
36085002700,"Census Tract 27, Richmond County, New York",1232,30188,539,14585,36085002700,3
36061001501,"Census Tract 15.01, New York County, New York",7329,109832,1640,14629,36061001501,1
36005038304,"Census Tract 383.04, Bronx County, New York",2218,16208,441,14158,36005038304,3
36047021900,"Census Tract 219, Kings County, New York",3882,104423,736,43837,36047021900,2
36047031900,"Census Tract 319, Kings County, New York",3100,75021,590,26228,36047031900,4
36081013700,"Census Tract 137, Queens County, New York",1880,108015,203,11921,36081013700,4
36047025000,"Census Tract 250, Kings County, New York",1907,55132,443,6231,36047025000,2
36005008900,"Census Tract 89, Bronx County, New York",3187,29599,451,8937,36005008900,3
36005037600,"Census Tract 376, Bronx County, New York",2063,55000,283,16388,36005037600,1
36005005902,"Census Tract 59.02, Bronx County, New York",2730,44917,480,19979,36005005902,1
36047081400,"Census Tract 814, Kings County, New York",2647,69938,500,25835,36047081400,2
36005043101,"Census Tract 431.01, Bronx County, New York",5837,39681,1402,14531,36005043101,8
36005005100,"Census Tract 51, Bronx County, New York",6075,19731,1101,2822,36005005100,4
36005037800,"Census Tract 378, Bronx County, New York",3132,46136,572,20489,36005037800,2
36061023502,"Census Tract 235.02, New York County, New York",1716,49750,328,24901,36061023502,2
36081055200,"Census Tract 552, Queens County, New York",2941,75511,561,21153,36081055200,2
36047036502,"Census Tract 365.02, Kings County, New York",1653,44926,509,18034,36047036502,1
36047045000,"Census Tract 450, Kings County, New York",982,75446,406,35827,36047045000,1
36047019300,"Census Tract 193, Kings County, New York",4156,67000,526,4289,36047019300,2
36005008500,"Census Tract 85, Bronx County, New York",5539,33065,686,11020,36005008500,10
36047040800,"Census Tract 408, Kings County, New York",3862,84753,661,19133,36047040800,6
36005016500,"Census Tract 165, Bronx County, New York",1074,35156,221,19867,36005016500,2
36061019400,"Census Tract 194, New York County, New York",6379,19926,914,18420,36061019400,1
36081027702,"Census Tract 277.02, Queens County, New York",4096,67171,650,15660,36081027702,1
36081079702,"Census Tract 797.02, Queens County, New York",4026,54096,779,23990,36081079702,3
36005024800,"Census Tract 248, Bronx County, New York",3067,77731,542,16699,36005024800,2
36047032900,"Census Tract 329, Kings County, New York",6174,59636,1492,27487,36047032900,1
36047067200,"Census Tract 672, Kings County, New York",1713,73807,354,25408,36047067200,1
36047115200,"Census Tract 1152, Kings County, New York",3664,48894,803,11976,36047115200,2
36047042500,"Census Tract 425, Kings County, New York",3398,88650,623,22178,36047042500,3
36047014300,"Census Tract 143, Kings County, New York",3994,131875,674,21876,36047014300,7
36047040100,"Census Tract 401, Kings County, New York",3409,49565,603,18375,36047040100,4
36081012601,"Census Tract 126.01, Queens County, New York",2955,77366,616,11981,36081012601,2
36047043300,"Census Tract 433, Kings County, New York",3764,33641,674,14903,36047043300,4
36081129102,"Census Tract 1291.02, Queens County, New York",4083,122123,823,13088,36081129102,1
36081056600,"Census Tract 566, Queens County, New York",1454,65625,371,39301,36081056600,3
36061014601,"Census Tract 146.01, New York County, New York",4305,131488,714,28733,36061014601,3
36047008400,"Census Tract 84, Kings County, New York",3742,71546,803,21763,36047008400,8
36047015500,"Census Tract 155, Kings County, New York",3904,190556,554,50253,36047015500,1
36047009800,"Census Tract 98, Kings County, New York",6195,55284,889,12241,36047009800,1
36047002901,"Census Tract 29.01, Kings County, New York",4253,24600,598,9468,36047002901,1
36005008300,"Census Tract 83, Bronx County, New York",6112,42386,913,4187,36005008300,8
36081024000,"Census Tract 240, Queens County, New York",7106,56887,1087,13153,36081024000,3
36081100803,"Census Tract 1008.03, Queens County, New York",4071,44146,793,20424,36081100803,6
36047001300,"Census Tract 13, Kings County, New York",2028,125673,314,18087,36047001300,1
36047048800,"Census Tract 488, Kings County, New York",4351,61013,589,6854,36047048800,1
36081011600,"Census Tract 116, Queens County, New York",2112,58516,371,39145,36081011600,3
36047001502,"Census Tract 15.02, Kings County, New York",5074,122159,685,20626,36047001502,3
36047012100,"Census Tract 121, Kings County, New York",1989,110461,500,13409,36047012100,4
36081077907,"Census Tract 779.07, Queens County, New York",3344,49857,624,22978,36081077907,2
36005022000,"Census Tract 220, Bronx County, New York",1915,29625,492,11265,36005022000,6
36047055500,"Census Tract 555, Kings County, New York",9345,174028,841,15786,36047055500,5
36081006201,"Census Tract 62.01, Queens County, New York",5920,61933,1133,9322,36081006201,1
36005024100,"Census Tract 241, Bronx County, New York",6914,42482,901,8209,36005024100,11
36081007900,"Census Tract 79, Queens County, New York",2649,99129,540,41046,36081007900,2
36061000700,"Census Tract 7, New York County, New York",8653,193276,993,24210,36061000700,3
36081103900,"Census Tract 1039, Queens County, New York",7131,67023,929,12323,36081103900,2
36005012500,"Census Tract 125, Bronx County, New York",4012,45966,610,15894,36005012500,4
36005004400,"Census Tract 44, Bronx County, New York",4365,15750,494,3188,36005004400,2
36081093900,"Census Tract 939, Queens County, New York",6244,83929,935,6867,36081093900,2
36061005700,"Census Tract 57, New York County, New York",3007,198529,556,64872,36061005700,2
36047080600,"Census Tract 806, Kings County, New York",3466,62135,568,17747,36047080600,3
36005033201,"Census Tract 332.01, Bronx County, New York",5306,37255,976,19769,36005033201,2
36081077902,"Census Tract 779.02, Queens County, New York",5062,92214,895,31752,36081077902,1
36047052500,"Census Tract 525, Kings County, New York",3321,28050,791,13029,36047052500,8
36081066301,"Census Tract 663.01, Queens County, New York",2940,116848,325,22786,36081066301,1
36081143500,"Census Tract 1435, Queens County, New York",2553,109732,476,37648,36081143500,3
36047102200,"Census Tract 1022, Kings County, New York",2364,72273,476,13800,36047102200,1
36005013300,"Census Tract 133, Bronx County, New York",6211,32326,1177,6541,36005013300,2
36047027500,"Census Tract 275, Kings County, New York",5009,89464,898,10011,36047027500,3
36005040502,"Census Tract 405.02, Bronx County, New York",7390,38816,1045,15413,36005040502,4
36047113200,"Census Tract 1132, Kings County, New York",2307,50149,469,7313,36047113200,2
36005037504,"Census Tract 375.04, Bronx County, New York",3429,25417,535,5896,36005037504,6
36047083800,"Census Tract 838, Kings County, New York",2097,85060,305,7853,36047083800,1
36005033601,"Census Tract 336.01, Bronx County, New York",4890,30533,767,14921,36005033601,4
36081013800,"Census Tract 138, Queens County, New York",3815,74083,724,9603,36081013800,2
